key: que  value: 24576
key: de  value: 8192
key: y  value: 122880
key: la  value: 45056
key: a  value: 20480
key: el  value: 118784
key: en  value: 112640
key: no  value: 94208
key: se  value: 40960
key: los  value: 6144
key: le  value: 121856
key: su  value: 115712
key: con  value: 114688
key: lo  value: 110592
key: por  value: 109568
key: don  value: 108544
key: las  value: 49152
key: como  value: 33792
key: del  value: 19456
key: me  value: 117248
key: si  value: 108032
key: al  value: 107520
key: es  value: 104960
key: yo  value: 102912
key: mi  value: 101376
key: maÌ?s  value: 100352
key: eÌ?l  value: 53248
key: tan  value: 52224
key: porque  value: 44544
key: un  value: 43520
key: habiÌ?a  value: 39424
key: sus  value: 38912
key: o  value: 40448
key: ni  value: 33280
key: para  value: 17920
key: una  value: 5632
key: Quijote  value: 5120
key: senÌƒor  value: 121600
key: ha  value: 121344
key: este  value: 120832
key: bien  value: 116736
key: ya  value: 112384
key: todo  value: 112128
key: Y  value: 111616
key: todos  value: 101120
key: sin  value: 99584
key: queÌ?  value: 99328
key: quien  value: 93952
key: fue  value: 70144
key: era  value: 70400
key: ser  value: 69632
key: sino  value: 53760
key: -dijo  value: 52992
key: Quijote,  value: 52736
key: otra  value: 50944
key: esto  value: 50688
key: aquel  value: 44288
key: Sancho  value: 35584
key: os  value: 35328
key: esta  value: 35072
key: vuestra  value: 34816
key: dijo:  value: 33024
key: hacer  value: 17664
key: que,  value: 16640
key: ver  value: 16384
key: cual  value: 17152
key: buen  value: 16896
key: asiÌ?  value: 17408
key: asiÌ?,  value: 129408
key: cura  value: 129152
key: tanto  value: 129024
key: pero  value: 126976
key: mal  value: 127104
key: dos  value: 118144
key: aquella  value: 118016
key: estaba  value: 117888
key: donde  value: 117760
key: cuando  value: 111872
key: pues  value: 112000
key: te  value: 107264
key: he  value: 107392
key: hay  value: 107008
key: toda  value: 107136
key: alliÌ?  value: 102272
key: cosa  value: 102144
key: poco  value: 102016
key: decir  value: 101888
key: hasta  value: 100992
key: Luis  value: 98816
key: caballero  value: 98944
key: les  value: 98560
key: uno  value: 98432
key: dar  value: 98304
key: son  value: 99200
key: cosas  value: 99072
key: coÌ?mo  value: 98688
key: muy  value: 97152
key: otro  value: 96896
key: -respondioÌ?  value: 96768
key: venta  value: 97024
key: todas  value: 97408
key: padre  value: 97280
key: fuera  value: 96256
key: gran  value: 96512
key: vuestro  value: 96640
key: verdad  value: 88704
key: habiÌ?an  value: 71680
key: vio  value: 88832
key: cuanto  value: 88960
key: ella  value: 88576
key: tal  value: 71936
key: deste  value: 72064
key: luego  value: 51456
key: estaÌ?  value: 51584
key: seÌ?  value: 44160
key: voz  value: 51328
key: sobre  value: 51200
key: albarda  value: 51968
key: senÌƒora  value: 52096
key: aun  value: 51840
key: Sancho,  value: 51712
key: aquiÌ?  value: 50176
key: aunque  value: 50560
key: barbero  value: 50432
key: barbero,  value: 40320
key: ellos  value: 40064
key: tiene  value: 39936
key: parece  value: 40192
key: punto  value: 38784
key: tambieÌ?n  value: 38400
key: puesto  value: 38528
key: mozo  value: 38656
key: Dios  value: 43008
key: En  value: 43136
key: castillo  value: 43264
key: mis  value: 18688
key: -No  value: 18560
key: vez  value: 18432
key: Luis,  value: 18816
key: mano  value: 32896
key: podiÌ?a  value: 32768
key: El  value: 19072
key: buena  value: 18944
key: criados  value: 19328
key: alguna  value: 19200
key: dio  value: 128128
key: tiempo  value: 128192
key: Pero  value: 128064
key: alguÌ?n  value: 128000
key: y,  value: 4096
key: cura,  value: 4224
key: esto,  value: 4352
key: manera  value: 4480
key: otros  value: 3456
key: parte  value: 3072
key: mejor  value: 3200
key: padre,  value: 3328
key: Fernando  value: 128832
key: baciÌ?a  value: 118528
key: Dorotea  value: 118592
key: teniÌ?a  value: 117120
key: yelmo  value: 117184
key: fin  value: 118656
key: quieÌ?n  value: 118720
key: puede  value: 117056
key: ventero  value: 116992
key: merced  value: 118336
key: cuatro  value: 118272
key: estas  value: 118400
key: sea  value: 118464
key: vuestras  value: 121216
key: cada  value: 121280
key: dijo  value: 121152
key: eÌ?sta  value: 106944
key: poner  value: 106880
key: eÌ?l,  value: 106752
key: sazoÌ?n  value: 106816
key: seraÌ?  value: 104256
key: duda  value: 104192
key: gente  value: 104320
key: hombre  value: 104384
key: mucho  value: 103552
key: modo  value: 103616
key: tu  value: 103488
key: debe  value: 103424
key: Dorotea,  value: 106624
key: tales  value: 106688
key: No  value: 106560
key: donÌƒa  value: 106496
key: han  value: 103872
key: manos  value: 103808
key: soy  value: 103744
key: venta,  value: 103680
key: cuadrilleros,  value: 102656
key: ventero,  value: 102720
key: contra  value: 97664
key: respondioÌ?  value: 97728
key: ojos  value: 100032
key: caballero,  value: 99968
key: nuevo  value: 99840
key: encantado  value: 99904
key: pues,  value: 102400
key: nos  value: 100096
key: hija  value: 100160
key: tengo  value: 100224
key: senÌƒora,  value: 100288
key: pudo  value: 100928
key: saber  value: 100864
key: albarda,  value: 97536
key: razones  value: 97600
key: estar  value: 98112
key: dice  value: 98048
key: Rocinante,  value: 98176
key: desde  value: 98240
key: intencioÌ?n  value: 96448
key: miÌ?  value: 97856
key: deseo  value: 97792
key: oiÌ?do  value: 97920
key: A  value: 97984
key: oidor,  value: 87552
key: Fernando,  value: 87616
key: caballeriÌ?a  value: 87680
key: dicho  value: 87744
key: diÌ?a  value: 66176
key: cuadrilleros  value: 66240
key: jaez  value: 66112
key: ahora  value: 66048
key: hizo  value: 58752
key: tantas  value: 58816
